43067,367,42700,,,,,,
1083,5,1078,,,,,,
49262,667,48595,,,,,,
38427,339,38088,,,,,,
18978,1100,17878,,,,,,
1520,3,1517,,,,,,
27113,81,27032,,,,,,
24051,317,23734,,,,,,
4430,4,4426,,,,,,
9776,87,9689,,,,,,
15398,594,14804,,,,,,
37754,174,37580,,,,,,
30312,178,30134,,,,,,
83249,3521,79728,,,,,,
74497,302,74195,,,,,,
1043,4,1039,,,,,,
1212,7,1205,,,,,,
885,118,767,,,,,,
225,32,193,,,,,,
41558,42,41516,,,,,,
15199,564,14635,,,,,,
80336,888,79448,,,,,,
363,14,349,,,,,,
16864,777,16087,,,,,,
35463,185,35278,,,,,,
4313,50,4263,,,,,,
103165,32,103133,,,,,,
3971,80,3891,,,,,,
90799,445,90354,,,,,,
358,3,355,,,,,,
1204,30,1174,,,,,,
62,0,62,,,,,,
46,0,46,,,,,,
44447,429,44018,,,,,,
13,0,13,,,,,,
222,0,222,,,,,,
